,Brand,Model,Make_Year,Price,Location,Distance travelled in km,EMI per month,Fuel type,owner
207,Hyundai,NEW SANTRO ,2019,₹4.49L,Lucknow,"18,416","8,778",P,1
208,Maruti,Vitara Brezza ,2019,₹6.77L,Lucknow,"81,340","13,235",D,2
209,Maruti,Vitara Brezza ,2019,₹6.50L,Lucknow,"73,076","12,708",D,1
210,Nissan,MAGNITE ,2021,₹6.89L,Lucknow,"25,522","13,474",P,1
211,Maruti,Baleno ,2019,₹4.91L,Lucknow,"62,897","9,599",P,1
212,Maruti,S PRESSO ,2020,₹3.61L,Lucknow,"43,589","7,064",P,1
213,Maruti,Swift ,2018,₹5.42L,Lucknow,"26,403","10,596",P,2
214,Volkswagen,Ameo ,2017,₹3.92L,Lucknow,"18,954","8,720",D,1
215,Hyundai,Grand i10 ,2015,₹3.36L,Lucknow,"40,227","6,569",P,
216,Renault,Kwid ,2020,₹3.46L,Lucknow,"27,046","6,764",P,1
217,KIA,SONET ,2021,₹9.96L,Lucknow,"37,694","18,958",P,1
218,Hyundai,Grand i10 ,2017,₹3.54L,Lucknow,"86,009","6,921",P,1
219,Maruti,Swift ,2016,₹3.84L,Lucknow,"80,516","7,502",P,2
220,Honda,Brio ,2015,₹3.25L,Jaipur,"51,030","6,347",P,2
221,Hyundai,Verna ,2013,₹4.03L,Jaipur,"74,220","13,385",D,2
222,Volkswagen,Ameo ,2017,₹3.95L,Jaipur,"95,176","7,722",P,2
223,Maruti,Baleno ,2017,₹5.36L,Jaipur,"45,352","10,479",P,1
224,Renault,Duster ,2017,₹4.85L,Jaipur,"98,059","9,482",D,1
225,Hyundai,AURA ,2020,₹5.73L,Jaipur,"33,659","11,195",P,1
226,Maruti,Baleno ,2022,₹6.95L,Jaipur,"42,393","13,587",P,1
227,Hyundai,NEW SANTRO ,2020,₹4.71L,Jaipur,"28,560","9,208",P,2
228,Maruti,Baleno ,2020,₹6.33L,Jaipur,"44,427","12,383",P,1
229,Tata,ALTROZ ,2021,₹6.24L,Jaipur,"43,585","12,199",P,1
230,Honda,Brio ,2016,₹3.25L,Jaipur,"51,517","6,354",P,2
231,Datsun,Go ,2018,₹3.48L,Jaipur,"75,191","6,799",P,1
232,Renault,Kwid ,2020,₹4.01L,Jaipur,"47,124","7,840",P,2
233,Maruti,Alto K10 ,2022,₹5.03L,Jaipur,"25,131","9,834",C,1
234,Maruti,New Wagon-R ,2019,₹4.79L,Jaipur,"39,209","9,365",P,
235,Mahindra,KUV 100 NXT ,2017,₹3.47L,Jaipur,"33,275","6,784",P,1
236,Maruti,XL6 ,2021,₹9.50L,Jaipur,"14,601","18,082",P,1
237,Tata,NEXON ,2020,₹9.41L,Jaipur,"68,669","17,911",D,1
238,Tata,Tiago ,2022,₹6.80L,Jaipur,"20,500","13,303",C,1
239,Honda,Amaze ,2023,₹7.14L,Jaipur,"8,240","13,959",P,2
240,Maruti,Alto 800 ,2017,₹2.31L,Kolkata,"73,849","4,516",P,1
241,Ford,Ecosport ,2018,₹5.84L,Kolkata,"78,848","11,417",P,1
242,Maruti,S PRESSO ,2021,₹3.93L,Kolkata,"13,005","7,683",P,1
243,Hyundai,Grand i10 ,2017,₹3.85L,Kolkata,"97,249","7,527",P,1
244,Tata,NEXON ,2019,₹5.89L,Kolkata,"24,682","11,515",P,2
245,Maruti,Wagon R 1.0 ,2015,₹2.86L,Kolkata,"49,070","5,582",P,1
246,Maruti,Swift ,2023,₹6.39L,Kolkata,"20,472","12,491",P,1
247,Mahindra,KUV 100 NXT ,2017,₹3.39L,Kolkata,"49,526","6,628",P,1
248,Hyundai,Verna ,2018,₹6.65L,Kolkata,"60,788","13,001",P,1
249,Honda,City ,2014,₹3.79L,Kolkata,"54,807","9,981",D,1
250,Datsun,Redi Go ,2020,₹2.97L,Kolkata,"31,958","5,806",P,1
251,Maruti,Dzire ,2018,₹5.25L,Kolkata,"71,155","10,264",P,2
252,Hyundai,Grand i10 ,2017,₹3.60L,Kolkata,"15,587","7,031",P,1
253,Hyundai,Eon ,2018,₹2.40L,Kolkata,"65,613","4,692",P,2
254,Hyundai,Verna ,2018,₹7.21L,Kolkata,"34,218","14,096",P,1
255,Ford,Ecosport ,2017,₹3.85L,Kolkata,"18,206","8,575",P,2
256,Honda,WR-V ,2019,₹5.37L,Kolkata,"20,314","10,493",P,2
257,Hyundai,GRAND I10 NIOS ,2021,₹5.96L,Kolkata,"15,874","11,652",P,1
258,Hyundai,Verna ,2018,₹6.18L,Kolkata,"60,448","12,075",P,1
259,Hyundai,Xcent ,2017,₹3.53L,Kolkata,"90,793","6,901",P,2
260,Honda,City ,2017,₹7.26L,Kochi,"84,180","14,193",P,
261,Hyundai,Elite i20 ,2016,₹4.96L,Kochi,"88,529","9,707",P,1
262,Hyundai,VENUE ,2021,₹6.94L,Kochi,"63,513","13,568",P,1
263,Tata,Tiago ,2021,₹5.56L,Kochi,"26,410","10,870",P,1
264,Toyota,Etios Liva ,2012,₹3.74L,Kochi,"97,533","17,605",D,1
265,Hyundai,Elite i20 ,2015,₹4.99L,Kochi,"71,081","9,746",P,1
266,Hyundai,Eon ,2016,₹2.34L,Kochi,"63,609","4,583",P,2
267,Jeep,Compass ,2017,₹11.35L,Kochi,"81,512","21,604",D,1
268,Datsun,Redi Go ,2017,₹2.03L,Kochi,"52,887","3,969",P,2
269,Nissan,MAGNITE ,2021,₹6.85L,Kochi,"48,217","13,392",P,1
270,Maruti,Alto ,2011,₹1.53L,Kochi,"71,857","7,202",P,1
271,Maruti,Ciaz ,2015,₹5.28L,Kochi,"89,751","10,323",P,1
272,Maruti,Alto 800 ,2013,₹2.15L,Kochi,"58,842","5,662",P,1
273,Honda,WR-V ,2018,₹6.52L,Kochi,"22,406","12,747",C,2
274,Hyundai,Elite i20 ,2014,₹4.44L,Kochi,"74,399","9,877",P,2
275,Tata,ALTROZ ,2021,₹6.10L,Kochi,"10,137","11,921",P,1
276,Honda,Jazz ,2017,₹5.70L,Kochi,"25,575","11,144",P,1
277,Hyundai,i20 ,2012,₹3.01L,Kochi,"95,352","14,169",D,1
278,Maruti,Wagon R 1.0 ,2015,₹3.69L,Kochi,"65,802","7,214",P,1
279,Maruti,Wagon R 1.0 ,2015,₹3.24L,Kochi,"91,783","6,334",P,2
280,Honda,City ,2016,₹6.07L,Nagpur,"41,085","11,867",P,2
281,Hyundai,Grand i10 ,2014,₹3.66L,Nagpur,"93,088","8,141",P,1
282,Maruti,Wagon R 1.0 ,2015,₹3.41L,Nagpur,"56,620","6,667",P,1
283,Maruti,Vitara Brezza ,2017,₹6.52L,Nagpur,"17,158","14,509",D,2
284,Maruti,Swift Dzire ,2016,₹5.28L,Nagpur,"83,828","10,323",D,1
285,Maruti,Alto 800 ,2015,₹2.25L,Nagpur,"80,387","4,399",P,1
286,Maruti,Dzire ,2018,₹5.50L,Nagpur,"52,910","10,753",P,
287,Hyundai,Elite i20 ,2017,₹5.05L,Nagpur,"94,255","9,873",P,1
288,Maruti,Celerio ,2019,₹4.12L,Nagpur,"37,817","8,062",P,1
289,Renault,Kwid ,2019,₹3.47L,Nagpur,"40,347","6,784",P,2
290,Honda,Amaze ,2016,₹3.80L,Nagpur,"69,690","7,429",P,1
291,Renault,Kwid ,2017,₹2.94L,Nagpur,"30,597","5,748",P,1
292,Maruti,Wagon R 1.0 ,2013,₹2.60L,Nagpur,"57,563","6,847",P,1
293,Volkswagen,Ameo ,2019,₹5.19L,Nagpur,"67,977","10,149",P,1
294,Renault,TRIBER ,2020,₹6.19L,Nagpur,"37,860","12,102",P,1
295,Hyundai,Grand i10 ,2015,₹4.03L,Nagpur,"54,434","7,885",P,2
296,Maruti,Alto K10 ,2015,₹2.31L,Nagpur,"57,981","4,516",P,2
297,Nissan,MAGNITE ,2022,₹6.63L,Nagpur,"24,829","12,962",P,1
298,Maruti,Baleno ,2017,₹4.78L,Nagpur,"62,669","9,345",P,1
299,Tata,PUNCH ,2021,₹7.32L,Nagpur,"38,262","14,311",P,1
300,Nissan,Micra ,2017,₹4.57L,Coimbatore,"49,717","8,940",P,1
301,Tata,NEXON ,2022,₹9.15L,Coimbatore,"31,849","17,416",P,1
302,Tata,NEXON ,2020,₹7.76L,Coimbatore,"15,196","15,171",P,
303,Hyundai,Elite i20 ,2018,₹6.52L,Coimbatore,"36,593","12,747",P,2
304,Honda,Brio ,2015,₹3.55L,Coimbatore,"54,174","6,940",P,
305,Hyundai,Xcent ,2016,₹4.21L,Coimbatore,"10,145","9,365",P,1
306,Hyundai,Elite i20 ,2018,₹5.60L,Coimbatore,"72,989","10,948",P,2
307,Maruti,Dzire ,2017,₹6.56L,Coimbatore,"61,749","12,834",D,1
308,Jeep,Compass ,2018,₹11.10L,Coimbatore,"74,364","21,128",D,1
309,Tata,PUNCH ,2021,₹7.19L,Coimbatore,"46,450","14,057",P,2
310,KIA,SONET ,2020,₹9.50L,Coimbatore,"35,061","18,082",P,2
311,Honda,Amaze ,2018,₹6.25L,Coimbatore,"46,946","12,219",P,2
312,Honda,Amaze ,2018,₹6.05L,Coimbatore,"39,478","11,828",P,2
313,Honda,City ,2020,₹8.74L,Coimbatore,"37,635","16,636",P,2
314,Hyundai,Elite i20 ,2016,₹6.07L,Coimbatore,"37,125","11,867",P,2
315,Ford,FREESTYLE ,2018,₹5.11L,Coimbatore,"95,579","9,982",P,1
316,MG,HECTOR PLUS ,2021,₹16.32L,Coimbatore,"82,269","31,064",P,1
317,Honda,WR-V ,2022,₹8.60L,Coimbatore,"15,590","16,369",P,1
318,Tata,NEXON ,2022,₹8.10L,Coimbatore,"42,982","15,418",P,1
319,Renault,TRIBER ,2020,₹5.70L,Coimbatore,"70,715","11,144",P,2
320,Maruti,Baleno ,2017,₹5.43L,Lasudia Mori,"91,199","10,616",P,1
321,KIA,SELTOS ,2020,₹9.20L,Lasudia Mori,"79,137","17,511",P,1
322,Renault,Kwid ,2020,₹3.64L,Lasudia Mori,"47,568","7,113",P,2
323,Maruti,Alto K10 ,2013,₹1.94L,Lasudia Mori,"66,195","5,109",P,2
324,Ford,Ecosport ,2017,₹4.91L,Lasudia Mori,"41,171","9,604",P,1
325,Maruti,Swift ,2016,₹4.39L,Lasudia Mori,"28,604","8,583",P,1
326,Hyundai,Elite i20 ,2017,₹4.22L,Lasudia Mori,"81,906","8,250",P,
327,Maruti,Wagon R 1.0 ,2013,₹2.67L,Lasudia Mori,"22,212","7,031",P,1
328,Maruti,New Wagon-R ,2019,₹4.39L,Lasudia Mori,"29,590","8,583",P,2
329,Tata,NEXON ,2019,₹5.97L,Lasudia Mori,"73,447","11,671",D,1
330,Honda,Amaze ,2022,₹7.05L,Lasudia Mori,"28,579","13,779",P,1
331,Hyundai,VENUE ,2022,₹7.38L,Lasudia Mori,"34,109","14,428",P,1
332,Honda,Amaze ,2018,₹5.70L,Lasudia Mori,"60,665","11,144",D,1
333,Toyota,Glanza ,2019,₹5.70L,Lasudia Mori,"46,283","11,144",P,1
334,Renault,Kwid ,2020,₹3.80L,Lasudia Mori,"75,274","7,429",P,1
335,Honda,Amaze ,2016,₹4.29L,Lasudia Mori,"45,124","8,387",P,2
336,Maruti,Wagon R 1.0 ,2017,₹3.35L,Lasudia Mori,"28,842","6,549",P,1
337,Mahindra,XUV300 ,2019,₹8.92L,Lasudia Mori,"43,149","16,978",D,1
338,Maruti,Baleno ,2017,₹5.67L,Lasudia Mori,"45,013","11,075",P,1
339,Maruti,IGNIS ,2021,₹6.39L,Lasudia Mori,"14,607","12,493",P,1
340,Honda,WR-V ,2018,₹7.23L,Patna,"67,994","14,135",D,1
341,Tata,TIGOR ,2020,₹6.22L,Patna,"10,707","12,165",P,1
342,Maruti,IGNIS ,2019,₹4.41L,Patna,"95,015","8,619",P,1
343,Maruti,Alto 800 ,2014,₹2.22L,Patna,"73,060","4,938",P,2
344,Mahindra,Bolero ,2012,₹3.11L,Patna,"69,648","14,660",D,1
345,Hyundai,Creta ,2018,₹8.47L,Patna,"65,357","16,122",D,1
346,Tata,NEXON ,2021,₹6.05L,Patna,"40,113","11,828",P,1
347,Tata,ALTROZ ,2021,₹5.75L,Patna,"45,916","11,241",D,1
348,Ford,FREESTYLE ,2018,₹5.52L,Patna,"33,949","10,792",D,1
349,Toyota,URBAN CRUISER ,2021,₹8.65L,Patna,"20,309","16,464",P,1
350,Maruti,S PRESSO ,2022,₹4.85L,Patna,"11,410","9,482",P,1
351,Ford,FREESTYLE ,2019,₹4.87L,Patna,"53,527","9,521",P,1
352,Maruti,Wagon R 1.0 ,2012,₹2.02L,Patna,"70,871","6,709",P,1
353,Hyundai,GRAND I10 NIOS ,2022,₹5.75L,Patna,"37,874","11,241",P,1
354,Maruti,Ciaz ,2021,₹7.03L,Patna,"37,152","13,744",P,2
355,Maruti,Ciaz ,2018,₹6.34L,Patna,"46,425","12,395",P,2
356,Hyundai,Grand i10 ,2019,₹4.97L,Patna,"23,371","9,714",P,2
